time,selected_tau,r2_scores,current_q,ref_q_current,predicted_ca_j5_at_tau,predicted_cb_j5_at_tau,true_ca_j5_at_tau,true_cb_j5_at_tau
0.0,1,"{'1': -inf, '2': -inf}",0.0,0.0,228.96412356751878,110.7465510453478,170.3182453233493,169.6817546766507
0.03333333333,1,"{'1': -5011.5805940961, '2': -inf}",0.0,0.0,229.87574092066149,109.54119156763375,171.13293116612073,168.86706883387927
0.06666666666,1,"{'1': -1386.4951047144762, '2': -inf}",0.0,0.0,228.96406218140348,109.73429099394666,172.444188886883,167.555811113117
0.09999999999,1,"{'1': -515.5346662151125, '2': -inf}",0.0,0.0,227.78130666758608,111.02350984569206,174.25214984420475,165.74785015579522
0.13333333332,1,"{'1': -211.93380158603034, '2': -inf}",0.0,0.0,216.04192676011456,127.33918836460867,176.5569453966546,163.44305460334536
0.16666666665,1,"{'1': -104.32205479584448, '2': -inf}",0.0,0.0,222.8477149630547,117.86717903075855,179.3587069028013,160.6412930971987
0.19999999998,1,"{'1': -65.56708546257079, '2': -inf}",0.0,0.0,252.1302762291754,90.93079294199258,182.65756572121336,157.34243427878664
0.23333333331,1,"{'1': -53.8070490708494, '2': -inf}",0.0,0.0,282.39955370927356,42.62491956174737,186.27170206251225,153.72829793748775
0.26666666664,1,"{'1': -35.37152154414124, '2': -inf}",0.0,0.0,116.97663312236236,195.1590144014352,189.88618387648108,150.11381612351892
0.29999999997,1,"{'1': -22.991890796602046, '2': -inf}",0.0,0.0,201.25873114815948,98.89512381887924,193.50162110863832,146.49837889136168
0.3333333333,1,"{'1': -15.864672768735531, '2': -inf}",0.0,0.0,149.84364062313614,170.76107089636577,197.11801375898395,142.88198624101605
0.36666666662999997,1,"{'1': -10.943003399871976, '2': -inf}",0.0,0.0,207.3054122761129,123.96703080839984,200.735361827518,139.26463817248202
0.39999999996,1,"{'1': -7.740523752091084, '2': -inf}",0.0,0.0,209.42054886484186,128.3976777212083,204.3536653142404,135.6463346857596
0.43333333329,1,"{'1': -5.996180454068488, '2': -inf}",0.0,0.0,258.1003982458028,83.5343989629593,207.9729242191512,132.02707578084878
0.46666666662,1,"{'1': -4.836572391659312, '2': -inf}",0.0,0.0,263.6024289885849,66.2214932337198,211.5103895565048,128.48961044349522
0.49999999995,1,"{'1': -3.6383887216164847, '2': -inf}",0.0,0.0,221.43408009017946,108.62854579325298,214.5740532252044,125.4259467747956
0.53333333328,1,"{'1': -2.831945662770549, '2': -inf}",0.0069101762578872,0.0069101762578872,188.61615029623684,144.37451643004212,216.54940773218004,123.45059226781996
0.56666666661,1,"{'1': -2.3016046744056426, '2': -inf}",0.3329524809138804,0.3329524809138804,240.43791642243536,96.37510007399229,215.72713411963085,124.27286588036914
0.59999999994,1,"{'1': -1.9528303580496087, '2': -inf}",2.07295883127691,2.07295883127691,213.578418009847,119.4636470045975,210.596503139139,129.403496860861
0.63333333327,1,"{'1': -1.8226158859597157, '2': -inf}",6.519022471753004,6.519022471753004,160.54172772614683,169.84123640894958,206.23547259716693,133.76452740283307
0.6666666666,1,"{'1': -1.721302602883835, '2': -inf}",10.271306465610431,10.271306465610431,167.20179643333626,166.0338854209974,201.1792555869967,138.82074441300327
0.69999999993,1,"{'1': -1.6433945034427921, '2': -inf}",14.15708651392258,14.15708651392258,199.5231468044947,134.3347854692191,193.59667252694155,146.40332747305845
0.7333333332599999,1,"{'1': -1.7676023899141988, '2': -inf}",19.480985585705877,19.480985585705877,243.75122194198906,95.22202573498652,187.9889533462259,152.0110466537741
0.7666666665899999,1,"{'1': -1.8199497280566619, '2': -inf}",23.453555312052977,23.453555312052977,220.83316125191212,119.54218566636357,182.77285916892,157.22714083108
0.79999999992,1,"{'1': -1.8141696441629742, '2': -inf}",27.281196373747395,27.281196373747395,173.73520124119364,166.9057620818892,176.47520599247756,163.52479400752242
0.83333333325,1,"{'1': -1.81978602501683, '2': -inf}",31.97926945174926,31.97926945174926,161.84171841934636,179.07844930545937,172.43697119685888,167.56302880314112
0.86666666658,1,"{'1': -1.8290816211131111, '2': -inf}",35.20123388651601,35.20123388651601,151.62299148506224,178.10752899749238,169.05208190243297,170.94791809756703
0.89999999991,1,"{'1': -1.8825056989583553, '2': -inf}",38.08757355406146,38.08757355406146,195.67222859131945,139.45249187833133,165.63420521603572,174.36579478396425
0.93333333324,1,"{'1': -2.018247363907158, '2': -inf}",41.15255920308765,41.15255920308765,215.83532880768973,124.1568621373496,164.30587466140776,175.69412533859222
0.96666666657,1,"{'1': -2.0318428683932694, '2': -inf}",42.83230467955102,42.83230467955102,186.4468462166826,160.92115020064296,163.66720526020188,176.33279473979812
0.9999999999,1,"{'1': -2.0462768349816844, '2': -inf}",44.11728388580818,44.11728388580818,149.60253922573622,200.93400488722938,163.58560130445326,176.4143986955467
1.0333333332299999,1,"{'1': -2.0445203389972217, '2': -inf}",45.15965052916645,45.15965052916645,161.02943099011512,184.3565785770828,164.79990704452354,175.20009295547644
1.06666666656,1,"{'1': -2.0438166589143316, '2': -inf}",45.37394212432521,45.37394212432521,172.11863457673897,169.30804199598174,166.44463664574835,173.5553633542516
1.09999999989,1,"{'1': -2.6576612559748214, '2': -inf}",45.34659976189797,45.34659976189797,59.63881020722121,279.1021428360713,168.30153437094415,171.69846562905582
1.13333333322,1,"{'1': -2.66348207686861, '2': -inf}",45.238533820376,45.238533820376,159.6905910263494,180.53568334272128,170.09473565889954,169.90526434110046
