time,selected_tau,r2_tau_1,r2_tau_2,r2_tau_3,r2_tau_4,r2_tau_5,r2_tau_6,r2_tau_7,r2_tau_8,r2_tau_9,r2_tau_10,current_q_j5,ref_q_current_j5,predicted_ca_j5_at_tau,predicted_cb_j5_at_tau,true_ca_j5_at_tau,true_cb_j5_at_tau
0.0,1,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.0,0.0,227.58499810496153,112.38061038945717,170.3182453233493,169.6817546766507
0.03333333333333333,10,-4378.990038448203,-803.1427240850497,-227.93475588050003,-82.29657605966547,-34.14542259944437,-15.255495787704032,-7.084246387065418,-3.3392938449111957,-1.539032568059692,-0.46384775260414823,0.0,0.0,225.7645005767344,113.89930923414254,197.11801375898395,142.88198624101605
0.06666666666666667,10,-1160.6732343477668,-320.3450928295868,-112.30856407657708,-45.610569183882205,-20.179387069771604,-9.387623552330927,-4.466215297511293,-2.045512212237621,-0.9406796330225622,-0.1948108708649574,0.0,0.0,228.40705332713915,111.00196046910588,200.735361827518,139.26463817248202
0.1,10,-426.0997540425964,-148.89293376194465,-60.1012814673185,-26.54296033514635,-12.433097149635989,-6.026725816642511,-2.874581782888455,-1.223485435966205,-0.5124149142644598,0.011211421344359818,0.0,0.0,230.56272170377773,108.68093138279598,204.3536653142404,135.6463346857596
0.13333333333333333,10,-193.51594546751767,-78.65285696681843,-34.97983343412743,-16.583803706758022,-8.219752810417738,-4.092990266514328,-1.9191057474026687,-0.7182682106540885,-0.1984178213449448,0.20169538620529615,0.0,0.0,230.20969391853944,109.49546343656387,207.9729242191512,132.02707578084878
0.16666666666666666,10,-137.77944189052195,-62.79763140545148,-30.83852237328482,-16.14535784967353,-8.795346192722132,-4.852252646895103,-2.6187041244859306,-1.3007598438880787,-0.5995163043311249,0.09680920972820628,0.0,0.0,256.63540077739145,82.72204247535102,211.5103895565048,128.48961044349522
0.2,10,-104.40629255551487,-52.505418120454934,-28.356817346342915,-16.135699550142526,-9.492994199596493,-5.671534869050267,-3.372933759770965,-1.9415685520326318,-1.1940755925171804,0.10217165552133589,0.0,0.0,255.470086539013,82.70986005696535,214.5740532252044,125.4259467747956
0.23333333333333334,10,-56.53995540502864,-30.87455200388524,-17.746151625694488,-10.552868843279526,-6.386231794661827,-3.8651153459201604,-2.2867543670367545,-1.2741407050757645,-0.9011552643912917,0.00646920508295612,0.0,0.0,162.90976910695008,178.83765103168665,216.54940773218004,123.45059226781996
0.26666666666666666,10,-33.51023893984596,-19.600372609003834,-11.874771049154466,-7.348760039109846,-4.580501029865825,-2.829207135792615,-1.6935047878819538,-0.9461676972422932,-0.5926277421502351,0.0004364401592769074,0.0,0.0,160.813643705097,160.24652008687772,215.72713411963085,124.27286588036914
0.3,10,-21.342502139298528,-13.184643906355486,-8.336758733885448,-5.335431451587057,-3.413981158685764,-2.1531669880402013,-1.31353531286637,-0.7476377732541328,-0.34446730209056553,0.10839772341749376,0.0,0.0,219.11084224227224,119.51686701013638,210.596503139139,129.403496860861
0.3333333333333333,10,-14.156072269232581,-9.089740236371709,-5.913724591611727,-3.8596984600583086,-2.498932868192365,-1.585634672512894,-0.966991804022767,-0.5476993466715416,-0.19817378384889772,0.1368090836924093,0.0,0.0,231.46799935687184,105.34216126817016,206.23547259716693,133.76452740283307
0.36666666666666664,10,-11.355185050983174,-7.714245761603012,-5.307988620261658,-3.680016366782908,-2.5607592876032097,-1.7818850786266034,-1.2329717424351072,-0.8328763049197776,-0.10970732743890732,0.17023984970758643,0.0,0.0,215.48758158267572,120.02530614790088,201.1792555869967,138.82074441300327
0.4,10,-8.87013888245387,-6.265936340154,-4.475518097621617,-3.229330273022444,-2.3524844731571943,-1.7343895712366058,-1.2840010279569558,-0.9238854796355196,-0.0682710004356919,0.16512127675373323,0.0,0.0,216.18650809805305,122.09378785928341,193.59667252694155,146.40332747305845
0.43333333333333335,10,-7.895103545971619,-5.8270440792782034,-4.361844197301666,-3.3165624222696763,-2.571138143089876,-2.02868693733426,-1.5992259081062263,-1.2387314257782465,-0.2567339239171489,0.06899478540970039,0.0,0.0,144.20052504604078,196.88271628193212,187.9889533462259,152.0110466537741
0.4666666666666667,10,-6.563279745124958,-5.004699163716132,-3.88359685110661,-3.0894332766200865,-2.52249872853888,-2.061988707996516,-1.6762834341583726,-1.336306457335164,-0.25100013263876053,0.05394368185454279,0.0,0.0,199.77397573355387,133.76371781450305,182.77285916892,157.22714083108
0.5,10,-5.660961056822376,-4.468916507903404,-3.6221507604486947,-3.028356341189678,-2.5539700994032986,-2.1454858375934256,-1.7869785513038408,-1.4516112511649943,-0.24507373096380625,0.05062383308659879,0.0,0.0,163.8487129573055,169.71861680023002,176.47520599247756,163.52479400752242
0.5333333333333333,10,-4.499184996249251,-3.6970582837748047,-3.162859974778331,-2.7331132767829946,-2.3691001502968883,-2.051281977412647,-1.7381432343560563,-1.4312965565734177,-0.2428321848104349,0.04571912664404776,0.0069101762578872,0.0069101762578872,178.02804711865696,155.10975469646132,172.43697119685888,167.56302880314112
0.5666666666666667,10,-3.8622896512778544,-3.3385194394662774,-2.9448846649120157,-2.6078277590521246,-2.3155426062025946,-2.030070467879954,-1.7339154820375597,-1.4348441733101192,-0.2428202081099191,0.04358485308388327,0.3329524809138804,0.3329524809138804,172.19652367951502,162.7009990614348,169.05208190243297,170.94791809756703
