time,current_q,ref_q_current,predicted_ca_cb_at_tau,true_ca_cb_at_tau,selected_tau,r2_scores
1.43333333319,[45.11403756703944],[45.11403756703944],"[168.60948843005718, 164.91518383982006]","[185.5546740255137, 154.44532597448628]",1,{'1': -1.5068190537641413}
1.4666666665199999,[45.12631379132005],[45.12631379132005],"[112.45471133904371, 216.0801244722418]","[187.2817167476736, 152.71828325232644]",1,{'1': -1.7080999980332217}
1.49999999985,[45.11431198503902],[45.11431198503902],"[62.62588249147927, 260.05697760094495]","[188.84971929970436, 151.15028070029567]",1,{'1': -2.3385120017956864}
1.5333333331799999,[45.17522743117586],[45.17522743117586],"[126.81423783358152, 189.0377019630218]","[190.3045919867742, 149.6954080132258]",1,{'1': -2.4060256334177947}
1.56666666651,[45.22913651930938],[45.22913651930938],"[166.8424602322164, 156.61659551345767]","[191.64014307336373, 148.35985692663627]",1,{'1': -2.3474460257304672}
1.59999999984,[45.26319766995887],[45.26319766995887],"[95.00306892295703, 235.4049459015563]","[192.77570052304264, 147.22429947695736]",1,{'1': -2.663700877858781}
1.63333333317,[45.322851988390696],[45.322851988390696],"[125.49365684471219, 206.64510743298527]","[193.55621329304597, 146.44378670695403]",1,{'1': -2.7569472900719836}
1.6666666665,[45.5122835298505],[45.5122835298505],"[173.55042889428972, 159.31406982510143]","[193.3226374863563, 146.6773625136437]",1,{'1': -2.6801179214582866}
1.69999999983,[46.244015323541085],[46.244015323541085],"[159.58163059929805, 185.90892757614574]","[192.38003166536245, 147.61996833463752]",1,{'1': -2.6557792451947977}
1.73333333316,[47.37221683335993],[47.37221683335993],"[121.20591831152821, 224.77156038873244]","[190.7942297693885, 149.2057702306115]",1,{'1': -2.8100925304641016}
1.76666666649,[48.87551429475732],[48.87551429475732],"[144.2485919755324, 201.7184113687726]","[188.15134377194016, 151.84865622805984]",1,{'1': -2.849300843487953}
1.79999999982,[51.04927572877924],[51.04927572877924],"[129.4492721698051, 217.58048027039254]","[186.1465804129548, 153.8534195870452]",1,{'1': -2.95665303067186}
1.83333333315,[52.68494447856158],[52.68494447856158],"[149.01536720850115, 199.26403169863727]","[183.9231154702764, 156.07688452972363]",1,{'1': -2.987981176685962}
1.86666666648,[54.36613560234825],[54.36613560234825],"[164.9496759760425, 181.31245862976328]","[180.84681925159165, 159.15318074840835]",1,{'1': -2.9840647982838644}
1.89999999981,[56.55990082997288],[56.55990082997288],"[129.33264207074916, 215.7663900171504]","[178.51794698308888, 161.48205301691112]",1,{'1': -3.0801179165544683}
1.93333333314,[58.071192696497874],[58.071192696497874],"[124.35212989141428, 218.6619907880319]","[176.05837752245284, 163.94162247754713]",1,{'1': -3.187658346268689}
1.9666666664699999,[59.443604754727126],[59.443604754727126],"[137.44866253285747, 203.14650164844196]","[173.06068677712506, 166.93931322287494]",1,{'1': -3.237734783681253}
1.9999999998,[60.98142067536766],[60.98142067536766],"[144.80359453450959, 197.14655003020178]","[170.701763372179, 169.298236627821]",1,{'1': -3.26661140229543}
2.03333333313,[61.83830055011728],[61.83830055011728],"[151.0921283520031, 191.38322878091546]","[168.31697608638092, 171.68302391361905]",1,{'1': -3.2798384878224907}
2.0666666664599997,[62.47750143026493],[62.47750143026493],"[192.77898619767714, 145.89162154917784]","[165.71781727358416, 174.28218272641584]",1,{'1': -3.3074762218444036}
2.09999999979,[63.03439304384696],[63.03439304384696],"[190.2739795952178, 146.75616965836204]","[163.24397587230095, 176.75602412769902]",1,{'1': -3.3321881745983557}
2.13333333312,[63.26915071029948],[63.26915071029948],"[197.649691952051, 138.315042988667]","[160.76735325699883, 179.23264674300117]",1,{'1': -3.3778857822779216}
2.16666666645,[63.27670644018509],[63.27670644018509],"[143.29797023002806, 183.5034506693707]","[158.03458501772508, 181.9654149822749]",1,{'1': -3.3574216711925677}
2.19999999978,[63.25042242203494],[63.25042242203494],"[147.22941621093764, 188.26142743487736]","[155.26901804190862, 184.73098195809135]",1,{'1': -3.3218268070970485}
