time,selected_tau,r2_tau_0,r2_tau_1,r2_tau_2,predicted_ca_j5_at_tau,predicted_cb_j5_at_tau,true_ca_j5_at_tau,true_cb_j5_at_tau,r2_tau_3,r2_tau_4,r2_tau_5,r2_tau_6
0.0,1,-inf,-inf,-inf,216.25909928953482,125.19299565363211,212.49757736730228,127.50242263269772,,,,
0.0,1,-inf,-inf,-inf,216.25909928953482,125.19299565363211,212.49757736730228,127.50242263269772,,,,
0.03333333333333333,1,-inf,0.9965509524824184,0.9884760722685185,214.01587519839276,125.71255970581636,212.50799392526253,127.49200607473745,,,,
0.03333333333333333,1,-inf,0.9965509524824184,0.9884760722685185,214.01587519839276,125.71255970581636,212.50799392526253,127.49200607473745,,,,
0.06666666666666667,1,-inf,0.997099716770359,0.987886130687308,213.69416134354427,125.21473696315793,212.5184104832228,127.48158951677716,,,,
0.06666666666666667,1,-inf,0.997099716770359,0.987886130687308,213.69416134354427,125.21473696315793,212.5184104832228,127.48158951677716,,,,
0.1,1,-inf,0.9955376346468088,0.985344983185011,216.3227583894707,123.14870951998746,212.5288270411831,127.47117295881692,,,,
0.1,1,-inf,0.9955376346468088,0.985344983185011,216.3227583894707,123.14870951998746,212.5288270411831,127.47117295881692,,,,
0.13333333333333333,1,-inf,0.9944260677486806,0.9849850449570879,217.04162054161282,123.46403789482115,212.5392435991434,127.4607564008566,,,,
0.13333333333333333,1,-inf,0.9944260677486806,0.9849850449570879,217.04162054161282,123.46403789482115,212.5392435991434,127.4607564008566,,,,
0.16666666666666666,1,-inf,0.9948125257763574,0.9859887119663497,215.35727566557944,125.47185120550921,212.54966015710363,127.45033984289635,,,,
0.16666666666666666,1,-inf,0.9948125257763574,0.9859887119663497,215.35727566557944,125.47185120550921,212.54966015710363,127.45033984289635,,,,
0.2,1,-inf,0.9949498969306546,0.9866938948113573,215.72921540943992,125.14409228024353,212.5600767150639,127.43992328493609,,,,
0.2,1,-inf,0.9949498969306546,0.9866938948113573,215.72921540943992,125.14409228024353,212.5600767150639,127.43992328493609,,,,
0.23333333333333334,1,-inf,0.992484273605951,0.985159178346395,205.93465993251203,134.18528160713143,212.57049327302417,127.42950672697584,,,,
0.23333333333333334,1,-inf,0.992484273605951,0.985159178346395,205.93465993251203,134.18528160713143,212.57049327302417,127.42950672697584,,,,
0.26666666666666666,1,-inf,0.9912456148849002,0.9866034180274496,218.66072376419433,121.88774428699494,212.5792742457564,127.42072575424358,,,,
0.26666666666666666,1,-inf,0.9912456148849002,0.9866034180274496,218.66072376419433,121.88774428699494,212.5792742457564,127.42072575424358,,,,
0.3,1,-inf,0.9892981961811448,0.9870650917384803,219.30968888072,120.48530792136195,212.2821205169701,127.71787948302986,,,,
0.3,1,-inf,0.9892981961811448,0.9870650917384803,219.30968888072,120.48530792136195,212.2821205169701,127.71787948302986,,,,
0.3333333333333333,1,-inf,0.9893291017276207,0.9877564783245162,212.26602015092226,128.47494687947622,208.05407590915465,131.94592409084535,,,,
0.3333333333333333,1,-inf,0.9893291017276207,0.9877564783245162,212.26602015092226,128.47494687947622,208.05407590915465,131.94592409084535,,,,
0.36666666666666664,1,-inf,0.9894724121922341,0.9866255653893149,199.62873943174935,141.27107876067393,201.96373590565756,138.03626409434247,,,,
0.36666666666666664,1,-inf,0.9894724121922341,0.9866255653893149,199.62873943174935,141.27107876067393,201.96373590565756,138.03626409434247,,,,
0.4,1,-inf,0.988644430341869,0.9852778616559652,191.44753397783978,149.175605177372,196.1007104282132,143.89928957178682,,,,
0.4,1,-inf,0.988644430341869,0.9852778616559652,191.44753397783978,149.175605177372,196.1007104282132,143.89928957178682,,,,
0.43333333333333335,1,-inf,0.9879876943820632,0.9838976625695015,184.85150358861193,155.3870049560653,189.00590314285716,150.99409685714286,,,,
0.43333333333333335,1,-inf,0.9879876943820632,0.9838976625695015,184.85150358861193,155.3870049560653,189.00590314285716,150.99409685714286,,,,
0.4666666666666667,1,-inf,0.9870038343929066,0.982697411283165,178.79920869744814,161.2012231472833,183.66356751333808,156.33643248666192,,,,
0.4666666666666667,1,-inf,0.9870038343929066,0.982697411283165,178.79920869744814,161.2012231472833,183.66356751333808,156.33643248666192,,,,
0.5,1,-inf,0.9860133148296385,0.9825478127928794,173.77537356453345,166.33616746982966,178.47005474082962,161.52994525917035,,,,
0.5,1,-inf,0.9860133148296385,0.9825478127928794,173.77537356453345,166.33616746982966,178.47005474082962,161.52994525917035,,,,
0.5333333333333333,1,-inf,0.9859197886942749,0.9825211869200103,170.83044607648614,169.55819010758267,172.07342275099916,167.92657724900084,,,,
0.5333333333333333,1,-inf,0.9859197886942749,0.9825211869200103,170.83044607648614,169.55819010758267,172.07342275099916,167.92657724900084,,,,
0.5666666666666667,1,-inf,0.9858000545874613,0.9822590783801759,169.94591516871623,170.94153746457766,167.9273329365514,172.07266706344856,,,,
0.5666666666666667,1,-inf,0.9858000545874613,0.9822590783801759,169.94591516871623,170.94153746457766,167.9273329365514,172.07266706344856,,,,
0.6,1,-inf,0.9850308003665669,0.9809021493247446,169.20793008204907,171.50323146177874,164.7168859334855,175.2831140665145,,,,
0.6,1,-inf,0.9850308003665669,0.9809021493247446,169.20793008204907,171.50323146177874,164.7168859334855,175.2831140665145,,,,
0.6333333333333333,1,-inf,0.9829319799964492,0.9781904433343769,168.53541409136687,171.3245107985528,161.74373720531602,178.25626279468398,,,,
0.6333333333333333,1,-inf,0.9829319799964492,0.9781904433343769,168.53541409136687,171.3245107985528,161.74373720531602,178.25626279468398,,,,
