time,selected_tau,r2_tau_10,current_q_j5,ref_q_current_j5,predicted_ca_j5_at_tau,predicted_cb_j5_at_tau,true_ca_j5_at_tau,true_cb_j5_at_tau
0.0,1,-inf,0.0,0.0,228.3314948275565,111.47070807888359,170.3182453233493,169.6817546766507
0.03333333333333333,10,-0.7402037146192699,0.0,0.0,228.90842881744726,110.77159685467034,197.11801375898395,142.88198624101605
0.06666666666666667,10,-0.3905983812442584,0.0,0.0,229.83921397957118,109.6019442125873,200.735361827518,139.26463817248202
0.1,10,-0.11418453443681065,0.0,0.0,230.35955548356856,108.8239797861169,204.3536653142404,135.6463346857596
0.13333333333333333,10,0.05893336635121049,0.0,0.0,233.67653374461128,102.50240078556597,207.9729242191512,132.02707578084878
0.16666666666666666,10,0.17587507482711517,0.0,0.0,235.2123225453308,94.68202441751896,211.5103895565048,128.48961044349522
0.2,10,-0.2221620480489559,0.0,0.0,280.0798546235197,49.25673994676728,214.5740532252044,125.4259467747956
0.23333333333333334,10,-0.16645411942624433,0.0,0.0,258.0922103977108,74.7162519768851,216.54940773218004,123.45059226781996
0.26666666666666666,10,-0.24081231872790898,0.0,0.0,136.91616995820013,148.22608394816766,215.72713411963085,124.27286588036914
0.3,10,-0.1894436165789566,0.0,0.0,160.48461233219672,119.8087673007036,210.596503139139,129.403496860861
0.3333333333333333,10,-0.1983233227886969,0.0,0.0,237.15567985086426,84.28983316989088,206.23547259716693,133.76452740283307
0.36666666666666664,10,-0.16875934902748768,0.0,0.0,225.53265409691633,111.50620618104108,201.1792555869967,138.82074441300327
0.4,10,-0.14666579712821148,0.0,0.0,177.04076486991698,162.60390364667538,193.59667252694155,146.40332747305845
0.43333333333333335,10,-0.14747339012779004,0.0,0.0,162.7263450375594,163.51815731742147,187.9889533462259,152.0110466537741
0.4666666666666667,10,-0.19683339493179175,0.0,0.0,200.16557033713505,114.46001044664267,182.77285916892,157.22714083108
0.5,10,-0.5435928856080747,0.0,0.0,87.75928860031756,231.36952146689703,176.47520599247756,163.52479400752242
0.5333333333333333,10,-0.8030227731429114,0.0069101762578872,0.0069101762578872,93.68693927736481,223.03207721855813,172.43697119685888,167.56302880314112
0.5666666666666667,10,-1.2461184720682783,0.3329524809138804,0.3329524809138804,70.16955031123995,248.67865784493756,169.05208190243297,170.94791809756703
0.6,10,-1.6403838916414863,2.07295883127691,2.07295883127691,79.1127992565956,256.147537767778,165.63420521603572,174.36579478396425
0.6333333333333333,10,-2.281014764892835,6.519022471753004,6.519022471753004,56.10441753186102,282.45251257900037,164.30587466140776,175.69412533859222
0.6666666666666666,10,-2.6466682376825124,10.271306465610431,10.271306465610431,79.26694201070805,255.44646561491032,163.66720526020188,176.33279473979812
0.7,10,-2.7316154392613847,14.15708651392258,14.15708651392258,122.79940656975988,217.5405690494414,163.58560130445326,176.4143986955467
0.7333333333333333,10,-2.754734090357184,19.480985585705877,19.480985585705877,143.5040257668178,199.30239250063528,164.79990704452354,175.20009295547644
0.7666666666666666,10,-2.7668095363014533,23.453555312052977,23.453555312052977,152.0918743789917,191.55889432874446,166.44463664574835,173.5553633542516
0.8,10,-2.769957039308087,27.281196373747395,27.281196373747395,164.52705197256063,182.6958191031645,168.30153437094415,171.69846562905582
0.8333333333333334,10,-2.7727279274992345,31.97926945174926,31.97926945174926,180.07299143526203,170.5234968870782,170.09473565889954,169.90526434110046
0.8666666666666667,10,-2.7840946999916367,35.20123388651601,35.20123388651601,158.1982006762326,183.98937136250186,171.7980116325675,168.2019883674325
0.9,10,-2.824083382570497,38.08757355406146,38.08757355406146,138.58941440782374,184.1465043404493,173.60280283521223,166.39719716478777
0.9333333333333333,10,-2.855257700997765,41.15255920308765,41.15255920308765,143.78177967527384,183.30146508937787,175.40635520162107,164.59364479837893
0.9666666666666667,10,-2.869321614972829,42.83230467955102,42.83230467955102,150.31042731833193,176.30670487558893,177.06883722064745,162.93116277935252
1.0,10,-2.8662024836196576,44.11728388580818,44.11728388580818,181.87278800393815,139.66843389733847,178.7312138106918,161.2687861893082
1.0333333333333332,10,-2.8473734292487207,45.15965052916645,45.15965052916645,185.05721276953975,147.7613141528798,180.4762928145161,159.52370718548386
1.0666666666666667,10,-2.8555827490021364,45.37394212432521,45.37394212432521,158.75331651252444,187.75739768829416,182.18680204969837,157.81319795030163
1.1,10,-2.887518266246227,45.34659976189797,45.34659976189797,224.1472347785884,123.79669603858841,183.85155728710023,156.1484427128997
1.1333333333333333,10,-2.8741615622566794,45.238533820376,45.238533820376,211.35078249388536,127.77732661633759,185.5546740255137,154.44532597448628
1.1666666666666667,10,-2.826283646936462,45.1746557783892,45.1746557783892,206.75913972569438,142.83891031846073,187.2817167476736,152.71828325232644
1.2,10,-2.768021358563417,45.16966458600201,45.16966458600201,207.7146787379212,141.86720662969822,188.84971929970436,151.15028070029567
1.2333333333333334,10,-2.7083208857720904,45.11795968028891,45.11795968028891,213.67259141383195,136.33686886126284,190.3045919867742,149.6954080132258
1.2666666666666666,10,-2.6384371075173436,45.04879960929616,45.04879960929616,213.82777807605825,137.10630698882713,191.64014307336373,148.35985692663627
1.3,10,-2.5564175524101196,45.06757033975458,45.06757033975458,210.09935636873738,140.92808467886525,192.77570052304264,147.22429947695736
1.3333333333333333,10,-2.471950959695993,45.10439116957847,45.10439116957847,209.82231392532705,139.29752095680462,193.55621329304597,146.44378670695403
1.3666666666666667,10,-2.386378237701508,45.08956759167216,45.08956759167216,194.6518025127562,144.8151525298047,193.3226374863563,146.6773625136437
