time,selected_tau,r2_tau_9,r2_tau_10,current_q_j5,ref_q_current_j5,predicted_ca_j5_at_tau,predicted_cb_j5_at_tau,true_ca_j5_at_tau,true_cb_j5_at_tau
0,1,#NAME?,#NAME?,0,0,227.5849981,112.3806104,170.3182453,169.6817547
0.033333333,10,-1.539032568,-0.463847753,0,0,225.7645006,113.8993092,197.1180138,142.8819862
0.066666667,10,-0.940679633,-0.194810871,0,0,228.4070533,111.0019605,200.7353618,139.2646382
0.1,10,-0.512414914,0.011211421,0,0,230.5627217,108.6809314,204.3536653,135.6463347
0.133333333,10,-0.198417821,0.201695386,0,0,230.2096939,109.4954634,207.9729242,132.0270758
0.166666667,10,-0.599516304,0.09680921,0,0,256.6354008,82.72204248,211.5103896,128.4896104
0.2,10,-1.194075593,0.102171656,0,0,255.4700865,82.70986006,214.5740532,125.4259468
0.233333333,10,-0.901155264,0.006469205,0,0,162.9097691,178.837651,216.5494077,123.4505923
0.266666667,10,-0.592627742,0.00043644,0,0,160.8136437,160.2465201,215.7271341,124.2728659
0.3,10,-0.344467302,0.108397723,0,0,219.1108422,119.516867,210.5965031,129.4034969
0.333333333,10,-0.198173784,0.136809084,0,0,231.4679994,105.3421613,206.2354726,133.7645274
0.366666667,10,-0.109707327,0.17023985,0,0,215.4875816,120.0253061,201.1792556,138.8207444
0.4,10,-0.068271,0.165121277,0,0,216.1865081,122.0937879,193.5966725,146.4033275
0.433333333,10,-0.256733924,0.068994785,0,0,144.200525,196.8827163,187.9889533,152.0110467
0.466666667,10,-0.251000133,0.053943682,0,0,199.7739757,133.7637178,182.7728592,157.2271408
0.5,10,-0.245073731,0.050623833,0,0,163.848713,169.7186168,176.475206,163.524794
0.533333333,10,-0.242832185,0.045719127,0.006910176,0.006910176,178.0280471,155.1097547,172.4369712,167.5630288
0.566666667,10,-0.242820208,0.043584853,0.332952481,0.332952481,172.1965237,162.7009991,169.0520819,170.9479181
0.6,10,-0.544158214,-0.173355988,2.072958831,2.072958831,104.2558442,237.7792537,165.6342052,174.3657948
0.633333333,10,-0.543880885,-0.179842509,6.519022472,6.519022472,176.9520488,163.5133918,164.3058747,175.6941253
0.666666667,10,-0.601453023,-0.323237638,10.27130647,10.27130647,113.6363122,228.6433097,163.6672053,176.3327947
0.7,10,-0.687335665,-0.386065252,14.15708651,14.15708651,129.6109988,211.2563907,163.5856013,176.4143987
0.733333333,10,-0.757488292,-0.62387486,19.48098559,19.48098559,100.8885541,242.6912506,164.799907,175.200093
0.766666667,9,-0.89575959,-0.906389815,23.45355531,23.45355531,112.8035741,225.0062902,164.799907,175.200093
0.8,10,-1.082948444,-0.93559231,27.28119637,27.28119637,148.0867093,197.2914301,168.3015344,171.6984656
0.833333333,10,-1.13337229,-0.965058602,31.97926945,31.97926945,149.3527292,195.0439448,170.0947357,169.9052643
0.866666667,10,-1.135226649,-0.989693988,35.20123389,35.20123389,152.4532082,191.150989,171.7980116,168.2019884
0.9,10,-1.135577311,-0.989248664,38.08757355,38.08757355,170.2765259,171.3492042,173.6028028,166.3971972
0.933333333,10,-1.134409013,-0.993660926,41.1525592,41.1525592,188.6928857,154.6336838,175.4063552,164.5936448
0.966666667,10,-1.13486323,-1.016890629,42.83230468,42.83230468,156.1005236,187.453531,177.0688372,162.9311628
1,10,-1.15096595,-1.049273325,44.11728389,44.11728389,153.260623,190.2023665,178.7312138,161.2687862
1.033333333,10,-1.154384959,-1.11139673,45.15965053,45.15965053,217.5803575,122.8168483,180.4762928,159.5237072
1.066666667,10,-1.14294154,-1.100445738,45.37394212,45.37394212,191.9346701,146.5002705,182.186802,157.813198
1.1,10,-1.167139595,-1.109241936,45.34659976,45.34659976,207.7822146,132.45585,183.8515573,156.1484427
1.133333333,10,-1.16940127,-1.083234446,45.23853382,45.23853382,190.5853094,150.8471854,185.554674,154.445326
1.166666667,10,-1.197150498,-1.053496203,45.17465578,45.17465578,194.4674262,145.5330962,187.2817167,152.7182833
1.2,10,-1.16496741,-1.085602791,45.16966459,45.16966459,152.7596929,188.720903,188.8497193,151.1502807
1.233333333,10,-1.128263423,-1.072076242,45.11795968,45.11795968,166.3708146,174.334219,190.304592,149.695408
1.266666667,10,-1.087161176,-1.036557324,45.04879961,45.04879961,176.2575505,164.2775586,191.6401431,148.3598569
1.3,10,-1.054322233,-0.99659682,45.06757034,45.06757034,177.7809599,161.8687076,192.7757005,147.2242995
1.333333333,10,-1.059358104,-0.990140455,45.10439117,45.10439117,223.9852783,114.6268652,193.5562133,146.4437867
1.366666667,10,-1.078489994,-1.013242677,45.08956759,45.08956759,233.3340177,106.8974267,193.3226375,146.6773625
1.4,10,-1.046585964,-0.974678704,45.08311408,45.08311408,204.3317409,135.9823399,192.3800317,147.6199683
1.433333333,10,-1.15377681,-1.087584265,45.11403757,45.11403757,250.4187846,91.41303132,190.7942298,149.2057702
1.466666667,10,-1.17355113,-1.087144963,45.12631379,45.12631379,215.6153334,127.3363239,188.1513438,151.8486562
1.5,10,-1.227773181,-1.077711578,45.11431199,45.11431199,204.493994,136.328768,186.1465804,153.8534196
1.533333333,10,-1.205144997,-1.09539827,45.17522743,45.17522743,211.6699895,126.4797133,183.9231155,156.0768845
1.566666667,9,-1.196035185,-1.271119702,45.22913652,45.22913652,168.1346905,168.9469557,183.9231155,156.0768845
1.6,9,-1.185697339,-1.370452169,45.26319767,45.26319767,177.7134171,161.4198641,180.8468193,159.1531807
1.633333333,9,-1.180321081,-1.472079959,45.32285199,45.32285199,173.0232328,166.505934,178.517947,161.482053
1.666666667,9,-1.202739658,-1.576035912,45.51228353,45.51228353,151.1799792,189.1246939,176.0583775,163.9416225
