time,selected_tau,r2_tau_0,r2_tau_1,r2_tau_2,predicted_ca_j5_at_tau,predicted_cb_j5_at_tau,true_ca_j5_at_tau,true_cb_j5_at_tau,r2_tau_3,r2_tau_4,r2_tau_5,r2_tau_6,r2_tau_7
0.0,1,-inf,-inf,-inf,190.81599255621566,152.5805571109004,170.3182453233493,169.6817546766507,,,,,
0.0,1,-inf,-inf,-inf,190.81599255621566,152.5805571109004,170.3182453233493,169.6817546766507,,,,,
0.03333333333333333,2,,-487.6631766803754,-111.07760463102389,194.14075714251197,151.11460921658073,172.444188886883,167.555811113117,-inf,,,,
0.03333333333333333,2,,-487.6631766803754,-111.07760463102389,194.14075714251197,151.11460921658073,172.444188886883,167.555811113117,-inf,,,,
0.06666666666666667,2,,-144.47490060562714,-47.18467403031128,196.62354528679418,148.01269311520443,174.25214984420475,165.74785015579522,-inf,,,,
0.06666666666666667,2,,-144.47490060562714,-47.18467403031128,196.62354528679418,148.01269311520443,174.25214984420475,165.74785015579522,-inf,,,,
0.1,3,,,-23.377486415544983,198.31667294598105,144.58658680155028,179.3587069028013,160.6412930971987,-4.036853789100257,-inf,,,
0.1,3,,,-23.377486415544983,198.31667294598105,144.58658680155028,179.3587069028013,160.6412930971987,-4.036853789100257,-inf,,,
0.13333333333333333,3,,,-13.564602699137406,202.34030538561026,138.8786943735718,182.65756572121336,157.34243427878664,-2.51407115193224,-inf,,,
0.13333333333333333,3,,,-13.564602699137406,202.34030538561026,138.8786943735718,182.65756572121336,157.34243427878664,-2.51407115193224,-inf,,,
0.16666666666666666,4,,,,204.90684942997973,134.0628568029822,189.88618387648108,150.11381612351892,-1.6075277816576325,0.35321107370960714,-inf,,
0.16666666666666666,4,,,,204.90684942997973,134.0628568029822,189.88618387648108,150.11381612351892,-1.6075277816576325,0.35321107370960714,-inf,,
0.2,4,,,,195.05178160655487,141.98187868140315,193.50162110863832,146.49837889136168,-0.5688798919930351,0.6384250557104729,-inf,,
0.2,4,,,,195.05178160655487,141.98187868140315,193.50162110863832,146.49837889136168,-0.5688798919930351,0.6384250557104729,-inf,,
0.23333333333333334,5,,,,192.9052664493011,144.54411747101844,200.735361827518,139.26463817248202,,0.7266076399790911,0.9676860898357079,-inf,
0.23333333333333334,5,,,,192.9052664493011,144.54411747101844,200.735361827518,139.26463817248202,,0.7266076399790911,0.9676860898357079,-inf,
0.26666666666666666,5,,,,201.6177514941458,138.5543657271723,204.3536653142404,135.6463346857596,,0.8014259019646591,0.9782325079517064,-inf,
0.26666666666666666,5,,,,201.6177514941458,138.5543657271723,204.3536653142404,135.6463346857596,,0.8014259019646591,0.9782325079517064,-inf,
0.3,6,,,,208.97570379746898,131.90558247823913,211.5103895565048,128.48961044349522,,,0.9853205184484076,0.9955876808625843,-inf
0.3,6,,,,208.97570379746898,131.90558247823913,211.5103895565048,128.48961044349522,,,0.9853205184484076,0.9955876808625843,-inf
0.3333333333333333,6,,,,208.50686559492766,132.41478410803387,214.5740532252044,125.4259467747956,,,0.9876117123990684,0.9889763925830692,-inf
0.3333333333333333,6,,,,208.50686559492766,132.41478410803387,214.5740532252044,125.4259467747956,,,0.9876117123990684,0.9889763925830692,-inf
0.36666666666666664,6,,,,206.80072913367397,134.03128194799436,216.54940773218004,123.45059226781996,,,0.9836886340302634,0.978099207196012,0.9498372447946822
0.36666666666666664,6,,,,206.80072913367397,134.03128194799436,216.54940773218004,123.45059226781996,,,0.9836886340302634,0.978099207196012,0.9498372447946822
0.4,6,,,,203.7472705619596,137.23931449078935,215.72713411963085,124.27286588036914,,,0.9731182817316733,0.9664060808836975,0.950425385951088
0.4,6,,,,203.7472705619596,137.23931449078935,215.72713411963085,124.27286588036914,,,0.9731182817316733,0.9664060808836975,0.950425385951088
0.43333333333333335,6,,,,201.17189797717782,139.68567260998424,210.596503139139,129.403496860861,,,0.9640359395791986,0.9626161912222154,0.9508212161251661
0.43333333333333335,6,,,,201.17189797717782,139.68567260998424,210.596503139139,129.403496860861,,,0.9640359395791986,0.9626161912222154,0.9508212161251661
0.4666666666666667,6,,,,198.1828917527572,142.4360822470705,206.23547259716693,133.76452740283307,,,0.9615045512581766,0.960923927447811,0.951185671530847
0.4666666666666667,6,,,,198.1828917527572,142.4360822470705,206.23547259716693,133.76452740283307,,,0.9615045512581766,0.960923927447811,0.951185671530847
0.5,6,,,,193.11217726000694,147.12879571585532,201.1792555869967,138.82074441300327,,,0.9588132889953485,0.9587457670761489,0.9519830683392786
0.5,6,,,,193.11217726000694,147.12879571585532,201.1792555869967,138.82074441300327,,,0.9588132889953485,0.9587457670761489,0.9519830683392786
0.5333333333333333,6,,,,187.19033823690452,152.9266558664335,193.59667252694155,146.40332747305845,,,0.9556117701648422,0.9573912836046546,0.9505851363848438
0.5333333333333333,6,,,,187.19033823690452,152.9266558664335,193.59667252694155,146.40332747305845,,,0.9556117701648422,0.9573912836046546,0.9505851363848438
0.5666666666666667,6,,,,182.02078407164421,158.4392331619943,187.9889533462259,152.0110466537741,,,0.9546359147988246,0.9556559669036241,0.9477248124186577
0.5666666666666667,6,,,,182.02078407164421,158.4392331619943,187.9889533462259,152.0110466537741,,,0.9546359147988246,0.9556559669036241,0.9477248124186577
0.6,6,,,,177.9741564157431,162.76747657856532,182.77285916892,157.22714083108,,,0.9539387264075389,0.9542917099979166,0.9468088303911228
0.6,6,,,,177.9741564157431,162.76747657856532,182.77285916892,157.22714083108,,,0.9539387264075389,0.9542917099979166,0.9468088303911228
